id,rle_mask,z,images,masks,coverage,coverage_class
4875705fb0,1111 1 1212 1 1313 1 1414 1 1514 2 1615 2 1716 2 1817 2 1918 2 2018 3 2119 3 2220 3 2321 3 2422 3 2523 3 2624 3 2725 3 2826 3 2927 3 3028 3 3129 3 3230 3 3331 3 3432 3 3533 3 3636 1 3737 1 3838 1 3938 2 4039 2 4140 2 4240 3 4341 3 4442 3 4542 4 4643 4 4744 4 4844 5 4945 5 5046 5 5146 6 5247 6 5347 7 5448 7 5549 7 5649 8 5750 8 5851 8 5952 8 6053 8 6154 8 6255 8 6355 9 6456 9 6557 9 6659 8 6760 8 6861 8 6962 8 7063 8 7164 8 7265 8 7367 7 7468 7 7569 7 7670 7 7772 6 7873 6 7974 6 8075 6 8177 5 8278 5 8379 5 8480 5 8582 4 8683 4 8784 4 8885 4 8986 4 9087 4 9188 4 9289 4 9389 5 9490 5 9591 5 9692 5 9792 6 9893 6 9993 7 10094 7 10194 8,797,"[[0.06666667 0.07843137 0.09019608 ... 0.36078431 0.31764706 0.28627451]
 [0.10196078 0.10196078 0.10196078 ... 0.31764706 0.28235294 0.25490196]
 [0.18823529 0.17254902 0.16470588 ... 0.28627451 0.25490196 0.24313725]
 ...
 [0.56078431 0.57647059 0.59215686 ... 0.64705882 0.65490196 0.66666667]
 [0.69803922 0.70980392 0.72156863 ... 0.65882353 0.67058824 0.68235294]
 [0.81960784 0.82745098 0.83529412 ... 0.68235294 0.69411765 0.70196078]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 1. 1. 1.]
 [0. 0. 0. ... 1. 1. 1.]
 [0. 0. 0. ... 1. 1. 1.]]",0.042838937359082445,1
57e394bc67,,765,"[[0.4        0.39607843 0.4        ... 0.36862745 0.45098039 0.5254902 ]
 [0.4        0.4        0.40784314 ... 0.38039216 0.44313725 0.51372549]
 [0.4        0.40784314 0.41176471 ... 0.39215686 0.44313725 0.50588235]
 ...
 [0.48627451 0.44313725 0.43137255 ... 0.80784314 0.79215686 0.66666667]
 [0.49411765 0.44313725 0.42745098 ... 0.81176471 0.78823529 0.57254902]
 [0.50196078 0.45098039 0.42352941 ... 0.76470588 0.72156863 0.39607843]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",0.0,0
40dcff68b3,3536 4 3637 20 3738 36 3839 53 3940 70 4041 86 4142 99 4243 5959,707,"[[0.44313725 0.42352941 0.38039216 ... 0.45490196 0.45490196 0.45490196]
 [0.41176471 0.38823529 0.35686275 ... 0.45098039 0.45098039 0.45490196]
 [0.31764706 0.29411765 0.2745098  ... 0.44313725 0.44313725 0.45098039]
 ...
 [0.40784314 0.41176471 0.43137255 ... 0.49803922 0.48235294 0.4627451 ]
 [0.41176471 0.41176471 0.41176471 ... 0.49803922 0.48627451 0.45882353]
 [0.46666667 0.45490196 0.44313725 ... 0.49803922 0.48627451 0.45882353]]","[[0. 0. 0. ... 1. 1. 1.]
 [0. 0. 0. ... 1. 1. 1.]
 [0. 0. 0. ... 1. 1. 1.]
 ...
 [0. 0. 0. ... 1. 1. 1.]
 [0. 0. 0. ... 1. 1. 1.]
 [0. 0. 0. ... 1. 1. 1.]]",0.6202333104597588,7
02117a400e,4041 1 4142 4 4243 7 4344 10 4445 13 4546 15 4647 17 4748 19 4849 21 4950 23 5051 25 5152 26 5253 27 5354 28 5455 29 5556 30 5657 32 5758 32 5859 33 5960 34 6061 35 6162 36 6263 36 6364 37 6465 38 6566 38 6667 39 6768 39 6869 40 6970 41 7071 41 7172 42 7273 43 7374 43 7475 44 7576 45 7677 46 7778 47 7879 47 7980 48 8081 49 8182 50 8283 51 8384 51 8485 52 8586 53 8687 53 8788 54 8889 55 8990 56 9091 56 9192 57 9293 58 9394 58 9495 59 9596 60 9697 60 9798 60 9899 61 10000 61 10101 61,696,"[[0.54117647 0.4745098  0.41176471 ... 0.51372549 0.51372549 0.51372549]
 [0.56862745 0.50588235 0.43137255 ... 0.50980392 0.50588235 0.50588235]
 [0.58431373 0.52156863 0.44313725 ... 0.50196078 0.50196078 0.49803922]
 ...
 [0.38039216 0.36862745 0.34509804 ... 0.5372549  0.5254902  0.51372549]
 [0.33333333 0.3254902  0.30980392 ... 0.55294118 0.54117647 0.53333333]
 [0.29803922 0.29411765 0.28627451 ... 0.55294118 0.54901961 0.54509804]]","[[0. 0. 0. ... 1. 1. 1.]
 [0. 0. 0. ... 1. 1. 1.]
 [0. 0. 0. ... 1. 1. 1.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",0.237819821586119,3
fdc28cafdc,6869 1 7172 1 7273 2 7374 5 7475 6 7576 7 7677 7 7778 8 7879 8 7980 8 8081 8 8182 8 8283 9 8384 10 8485 11 8586 15 8687 19 8788 22 8889 25 8990 28 9091 32 9192 35 9293 38 9394 42 9495 47 9596 51 9697 55 9798 60 9899 63 10000 66 10101 70,338,"[[0.34509804 0.33333333 0.37647059 ... 0.46666667 0.47058824 0.49411765]
 [0.38039216 0.37647059 0.41176471 ... 0.47058824 0.47058824 0.49019608]
 [0.41176471 0.41176471 0.43137255 ... 0.4745098  0.4745098  0.48627451]
 ...
 [0.34901961 0.58431373 0.55686275 ... 0.39215686 0.34509804 0.23529412]
 [0.44313725 0.46666667 0.50196078 ... 0.39215686 0.34509804 0.2627451 ]
 [0.6        0.39607843 0.45882353 ... 0.38039216 0.32941176 0.2745098 ]]","[[0. 0. 0. ... 1. 1. 1.]
 [0. 0. 0. ... 1. 1. 1.]
 [0. 0. 0. ... 1. 1. 1.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",0.07518870698951083,1
2bc8a3db3c,68 34 168 35 268 36 369 36 470 36 570 37 671 37 771 38 871 39 971 40 1071 41 1172 41 1272 42 1372 43 1472 44 1573 44 1673 45 1774 45 1874 46 1975 46 2076 46 2177 46 2279 45 2380 45 2482 44 2584 43 2686 42 2788 41 2891 39 2992 39 3093 39 3194 39 3296 38 3397 38 3498 38 3600 37 3701 37 3803 36 3904 36 4006 35 4107 35 4209 34 4310 34 4412 33 4513 33 4615 32 4717 31 4818 31 4920 30 5022 29 5123 29 5225 28 5327 27 5428 27 5530 26 5632 25 5733 25 5835 24 5937 23 6038 23 6140 22 6241 22 6343 21 6444 21 6546 20 6647 20 6749 19 6850 19 6952 18 7053 18 7155 17 7256 17 7358 16 7459 16 7561 15 7662 15 7764 14 7865 14 7967 13 8068 13 8170 12 8271 12 8373 11 8474 11 8575 11 8677 10 8778 10 8880 9 8981 9 9082 9 9183 9 9285 8 9386 8 9487 8 9588 8 9690 7 9791 7 9892 7 9994 6 10095 6 10197 5,353,"[[0.37647059 0.40392157 0.42352941 ... 0.36078431 0.39215686 0.4       ]
 [0.3254902  0.34901961 0.38039216 ... 0.41176471 0.41176471 0.40392157]
 [0.29411765 0.31764706 0.35686275 ... 0.42352941 0.38823529 0.34901961]
 ...
 [0.2745098  0.28627451 0.30588235 ... 0.5372549  0.51372549 0.48627451]
 [0.26666667 0.27843137 0.29803922 ... 0.53333333 0.5372549  0.53333333]
 [0.25490196 0.27058824 0.28627451 ... 0.52941176 0.54901961 0.56078431]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",0.2666405254386825,3
1f0b16aa13,,364,"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",0.0,0
e0b6a1211f,,193,"[[0.24705882 0.24705882 0.28235294 ... 0.63921569 0.66666667 0.63921569]
 [0.44313725 0.50588235 0.52156863 ... 0.69411765 0.70196078 0.69411765]
 [0.61568627 0.65490196 0.63921569 ... 0.55686275 0.52941176 0.54117647]
 ...
 [0.51372549 0.47058824 0.48627451 ... 0.56470588 0.56470588 0.5372549 ]
 [0.46666667 0.45490196 0.49019608 ... 0.54117647 0.50588235 0.4745098 ]
 [0.4745098  0.49803922 0.51372549 ... 0.44313725 0.41176471 0.40392157]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",0.0,0
5e3c2aa2bb,,307,"[[0.33333333 0.33333333 0.33333333 ... 0.33333333 0.33333333 0.33333333]
 [0.33333333 0.33333333 0.33333333 ... 0.33333333 0.33333333 0.33333333]
 [0.33333333 0.33333333 0.33333333 ... 0.33333333 0.33333333 0.33333333]
 ...
 [0.4        0.40784314 0.38823529 ... 0.38823529 0.37254902 0.37647059]
 [0.36078431 0.34117647 0.30588235 ... 0.36078431 0.34509804 0.36470588]
 [0.2745098  0.21176471 0.18039216 ... 0.2627451  0.2627451  0.27843137]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",0.0,0
d3f3db7bd1,,258,"[[0.34509804 0.34509804 0.34509804 ... 0.34509804 0.34509804 0.34509804]
 [0.34509804 0.34509804 0.34509804 ... 0.34509804 0.34509804 0.34509804]
 [0.34509804 0.34509804 0.34509804 ... 0.34509804 0.34509804 0.34509804]
 ...
 [0.3254902  0.30588235 0.3254902  ... 0.22745098 0.23529412 0.24313725]
 [0.27058824 0.25098039 0.20784314 ... 0.22352941 0.24313725 0.23921569]
 [0.24705882 0.22352941 0.25882353 ... 0.14117647 0.14901961 0.10980392]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",0.0,0
